order_id,customer_id,product_id,quantity,unit_price,discount_pct,order_date,status,payment_method
1,1,1,1,1299.99,0,2024-01-05,delivered,carte
2,2,2,2,49.99,5,2024-01-08,delivered,paypal
3,3,4,1,449.99,10,2024-01-12,delivered,carte
4,1,7,1,199.99,0,2024-01-15,delivered,carte
5,4,5,1,349.99,0,2024-01-20,shipped,virement
6,5,1,1,1299.99,15,2024-01-25,delivered,carte
7,2,3,1,129.99,0,2024-02-01,delivered,paypal
8,6,9,2,119.99,0,2024-02-05,delivered,carte
9,3,8,1,89.99,5,2024-02-10,delivered,paypal
10,7,6,1,599.99,10,2024-02-14,delivered,virement
11,8,2,3,49.99,0,2024-02-18,delivered,carte
12,9,11,1,39.99,0,2024-02-22,delivered,paypal
13,1,9,1,119.99,0,2024-03-01,delivered,carte
14,5,3,2,129.99,5,2024-03-05,delivered,carte
15,10,4,1,449.99,0,2024-03-10,shipped,carte
16,11,1,1,1299.99,0,2024-03-15,delivered,virement
17,4,7,1,199.99,10,2024-03-20,delivered,carte
18,6,10,5,19.99,0,2024-03-25,delivered,paypal
19,12,5,1,349.99,5,2024-04-01,delivered,carte
20,7,8,1,89.99,0,2024-04-05,cancelled,paypal
21,2,1,1,1299.99,0,2024-04-10,delivered,carte
22,3,11,2,39.99,0,2024-04-15,delivered,paypal
23,8,6,1,599.99,15,2024-04-20,delivered,virement
24,9,2,1,49.99,0,2024-04-25,delivered,carte
25,10,9,2,119.99,5,2024-05-01,delivered,carte
26,11,4,1,449.99,0,2024-05-05,shipped,virement
27,1,3,1,129.99,0,2024-05-10,delivered,carte
28,5,10,3,19.99,0,2024-05-15,delivered,paypal
29,12,1,1,1299.99,10,2024-05-20,delivered,carte
30,6,7,2,199.99,0,2024-05-25,delivered,carte
